E_K [GeV/n],Flux*E_K^2.7,err- (Flux*E_K^2.7),err+ (Flux*E_K^2.7),Flux,err- Flux,err+ Flux
0.6414,0.0022,0.0022,0.0054,7.1575e-03,7.1575e-03,1.7894e-02
0.7573,0.0075,0.0032,0.0033,1.5878e-02,6.7360e-03,6.9766e-03
0.8847,0.0155,0.0047,0.0050,2.1609e-02,6.5936e-03,6.9200e-03
1.0248,0.0216,0.0044,0.0043,2.0242e-02,4.0888e-03,3.9878e-03
1.1865,0.0291,0.0032,0.0032,1.8355e-02,2.0394e-03,2.0394e-03
1.3621,0.0369,0.0035,0.0040,1.6041e-02,1.5222e-03,1.7563e-03
1.5528,0.0460,0.0039,0.0047,1.4006e-02,1.1836e-03,1.4466e-03
1.7731,0.0542,0.0035,0.0052,1.1538e-02,7.3777e-04,1.1006e-03
2.0089,0.0649,0.0034,0.0052,9.8647e-03,5.1448e-04,7.9782e-04
2.2568,0.0715,0.0047,0.0051,7.9460e-03,5.1739e-04,5.6095e-04
2.5325,0.0804,0.0038,0.0038,6.5386e-03,3.0718e-04,3.0718e-04
2.8410,0.0891,0.0039,0.0058,5.3170e-03,2.3327e-04,3.4589e-04
3.1755,0.0978,0.0040,0.0058,4.3199e-03,1.7470e-04,2.5411e-04
3.5251,0.1099,0.0063,0.0044,3.6613e-03,2.1114e-04,1.4825e-04
3.9111,0.1179,0.0068,0.0094,2.9677e-03,1.7152e-04,2.3569e-04
4.3254,0.1290,0.0060,0.0070,2.4730e-03,1.1492e-04,1.3331e-04
4.7707,0.1324,0.0073,0.0089,1.9490e-03,1.0733e-04,1.3082e-04
5.2437,0.1390,0.0073,0.0078,1.5843e-03,8.3732e-05,8.8462e-05
5.7571,0.1490,0.0076,0.0064,1.3198e-03,6.7671e-05,5.6584e-05
6.2978,0.1531,0.0097,0.0065,1.0648e-03,6.7208e-05,4.5305e-05
6.9111,0.1581,0.0081,0.0091,8.5514e-04,4.3899e-05,4.9481e-05
7.5723,0.1673,0.0087,0.0075,7.0705e-04,3.6673e-05,3.1732e-05
8.2855,0.1725,0.0085,0.0055,5.7191e-04,2.8287e-05,1.8208e-05
8.9781,0.1717,0.0099,0.0106,4.5837e-04,2.6449e-05,2.8262e-05
9.7909,0.1765,0.0093,0.0102,3.7275e-04,1.9545e-05,2.1473e-05
10.6810,0.1825,0.0099,0.0096,3.0472e-04,1.6461e-05,1.5969e-05
11.5992,0.1875,0.0105,0.0110,2.5057e-04,1.4087e-05,1.4753e-05
13.0843,0.1868,0.0099,0.0106,1.8034e-04,9.5162e-06,1.0274e-05
15.3714,0.1894,0.0093,0.0101,1.1840e-04,5.8040e-06,6.3317e-06
17.9667,0.1886,0.0117,0.0110,7.7350e-05,4.7899e-06,4.5013e-06
20.8620,0.1925,0.0102,0.0092,5.2740e-05,2.7886e-06,2.5316e-06
24.3843,0.1905,0.0125,0.0123,3.4247e-05,2.2432e-06,2.2179e-06
28.2580,0.1960,0.0126,0.0122,2.3665e-05,1.5198e-06,1.4764e-06
32.6608,0.1895,0.0115,0.0122,1.5480e-05,9.4144e-07,9.9709e-07
38.0060,0.1872,0.0135,0.0124,1.0154e-05,7.3153e-07,6.7301e-07
44.1235,0.1581,0.0114,0.0123,5.7325e-06,4.1323e-07,4.4724e-07
51.3641,0.1781,0.0131,0.0139,4.2850e-06,3.1464e-07,3.3411e-07
59.9201,0.1804,0.0143,0.0137,2.8635e-06,2.2721e-07,2.1788e-07
71.1719,0.1789,0.0149,0.0164,1.7836e-06,1.4855e-07,1.6340e-07
85.4291,0.1471,0.0144,0.0147,8.9598e-07,8.7834e-08,8.9564e-08
104.0796,0.1317,0.0152,0.0161,4.7072e-07,5.4377e-08,5.7420e-08
130.4615,0.1448,0.0186,0.0170,2.8121e-07,3.6133e-08,3.2991e-08
170.2848,0.1676,0.0209,0.0222,1.5854e-07,1.9769e-08,2.1045e-08
241.0433,0.1785,0.0264,0.0254,6.6079e-08,9.7820e-09,9.3828e-09
397.5647,0.1542,0.0290,0.0281,1.4778e-08,2.7832e-09,2.6970e-09
849.0515,0.1544,0.1048,0.1056,1.9079e-09,1.2947e-09,1.3044e-09
