rigidity_min GV,rigidity_max GV,Ar_flux m^-2sr^-1s^-1GV^-1,Ar_flux_error_statistical m^-2sr^-1s^-1GV^-1,Ar_flux_error_acceptance m^-2sr^-1s^-1GV^-1,Ar_flux_error_unfolding m^-2sr^-1s^-1GV^-1,Ar_flux_error_rigidity_scale m^-2sr^-1s^-1GV^-1,Ar_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2.15e+00,2.40e+00,1.403e-02,2.94e-04,7.48e-04,1.53e-03,6.84e-05,1.70e-03
2.40e+00,2.67e+00,1.575e-02,2.36e-04,8.04e-04,9.75e-04,4.82e-05,1.27e-03
2.67e+00,2.97e+00,1.502e-02,2.07e-04,7.44e-04,4.97e-04,2.52e-05,8.95e-04
2.97e+00,3.29e+00,1.423e-02,1.80e-04,6.89e-04,2.50e-04,1.02e-05,7.33e-04
3.29e+00,3.64e+00,1.370e-02,1.58e-04,6.52e-04,1.49e-04,2.13e-06,6.69e-04
3.64e+00,4.02e+00,1.168e-02,1.33e-04,5.49e-04,1.06e-04,6.14e-06,5.59e-04
4.02e+00,4.43e+00,9.919e-03,1.10e-04,4.63e-04,8.64e-05,9.34e-06,4.71e-04
4.43e+00,4.88e+00,8.365e-03,8.73e-05,3.88e-04,7.00e-05,1.09e-05,3.94e-04
4.88e+00,5.37e+00,7.020e-03,7.18e-05,3.24e-04,5.59e-05,1.13e-05,3.29e-04
5.37e+00,5.90e+00,5.740e-03,5.92e-05,2.65e-04,4.32e-05,1.07e-05,2.68e-04
5.90e+00,6.47e+00,4.834e-03,4.94e-05,2.23e-04,3.41e-05,1.00e-05,2.25e-04
6.47e+00,7.09e+00,3.842e-03,3.97e-05,1.77e-04,2.52e-05,8.67e-06,1.79e-04
7.09e+00,7.76e+00,3.136e-03,3.25e-05,1.44e-04,1.90e-05,7.58e-06,1.46e-04
7.76e+00,8.48e+00,2.545e-03,2.70e-05,1.17e-04,1.42e-05,6.51e-06,1.18e-04
8.48e+00,9.26e+00,2.074e-03,2.27e-05,9.55e-05,1.06e-05,5.57e-06,9.62e-05
9.26e+00,1.01e+01,1.737e-03,1.96e-05,8.00e-05,8.14e-06,4.87e-06,8.06e-05
1.01e+01,1.10e+01,1.405e-03,1.68e-05,6.48e-05,6.02e-06,4.10e-06,6.52e-05
1.10e+01,1.20e+01,1.165e-03,1.43e-05,5.37e-05,4.55e-06,3.52e-06,5.41e-05
