# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 261.807 2.94837
215.443 316.228 259.902 297.109 1.39169
316.228 464.159 381.484 330.03 0.803563
464.159 681.292 559.942 363.363 1.22639
681.292 1000 821.883 381.707 1.66725
1000 1467.8 1206.36 391.959 2.10701
1467.8 2154.43 1770.69 408.078 2.80719
2154.43 3162.28 2599.02 415.554 3.99525
3162.28 4641.59 3814.84 409.9 5.16845
4641.59 6812.92 5599.42 412.912 7.64627
6812.92 10000 8218.83 407.37 10.9886
10000 17782.8 13208.3 424.284 14.4695
17782.8 31622.8 23488 493.105 26.1907
31622.8 56234.1 41768.3 631.182 46.1139
56234.1 100000 74275.7 785.761 83.0332
100000 177828 132083 829.272 126.389
177828 316228 234880 1055.62 259.38
316228 562341 417683 1202.97 489.557
562341 1e+06 742757 0 0
