# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 256.201 2.77436
215.443 316.228 259.902 290.818 1.32356
316.228 464.159 381.484 323.652 0.751839
464.159 681.292 559.942 358.158 1.16374
681.292 1000 821.883 379.435 1.58143
1000 1467.8 1206.36 393.068 2.13912
1467.8 2154.43 1770.69 414.421 2.86192
2154.43 3162.28 2599.02 427.255 4.0256
3162.28 4641.59 3814.84 424.597 5.33744
4641.59 6812.92 5599.42 432.636 7.61802
6812.92 10000 8218.83 436.792 11.0032
10000 14678 12063.6 451.052 15.72
14678 21544.3 17706.9 497.598 24.0622
21544.3 31622.8 25990.2 534.765 32.7706
31622.8 46415.9 38148.4 660.56 52.2295
46415.9 68129.2 55994.2 888.454 79.5119
68129.2 100000 82188.3 1081.75 125.594
100000 146780 120636 1155.14 177.02
146780 215443 177069 1323.84 255.767
215443 316228 259902 1738.47 421.92
316228 464159 381484 1734.92 571.462
464159 681292 559942 1751.61 977.599
681292 1e+06 821883 0 0
