# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 261.806 2.95985
215.443 316.228 259.902 297.108 1.3862
316.228 464.159 381.484 330.03 0.799757
464.159 681.292 559.942 363.364 1.22196
681.292 1000 821.883 381.71 1.64852
1000 1467.8 1206.36 391.961 2.11563
1467.8 2154.43 1770.69 408.046 2.82567
2154.43 3162.28 2599.02 415.474 4.00367
3162.28 4641.59 3814.84 409.787 5.08477
4641.59 6812.92 5599.42 413.656 7.53002
6812.92 10000 8218.83 409.722 10.6559
10000 14678 12063.6 418.643 14.4381
14678 21544.3 17706.9 459.527 22.8338
21544.3 31622.8 25990.2 484.879 31.3889
31622.8 46415.9 38148.4 575.208 48.7128
46415.9 68129.2 55994.2 732.517 71.541
68129.2 100000 82188.3 883.016 108.179
100000 146780 120636 929.649 147.114
146780 215443 177069 1012.98 213.192
215443 316228 259902 1046.82 329.822
316228 464159 381484 518.096 302.24
464159 681292 559942 104.448 96.6692
681292 1e+06 821883 0 0
