# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 264.879 3.06952
215.443 316.228 259.902 301.496 1.43203
316.228 464.159 381.484 335.256 0.83987
464.159 681.292 559.942 368.678 1.26673
681.292 1000 821.883 386.3 1.73127
1000 1467.8 1206.36 395.957 2.16676
1467.8 2154.43 1770.69 409.832 2.9407
2154.43 3162.28 2599.02 416.41 4.42109
3162.28 4641.59 3814.84 410.516 5.19697
4641.59 6812.92 5599.42 410.609 8.31407
6812.92 10000 8218.83 404.066 11.2395
10000 14678 12063.6 410.52 14.0703
14678 21544.3 17706.9 457.014 23.5803
21544.3 31622.8 25990.2 491.422 32.6089
31622.8 46415.9 38148.4 587.493 49.889
46415.9 68129.2 55994.2 751.667 72.8475
68129.2 100000 82188.3 903.849 114.561
100000 146780 120636 900.055 147.35
146780 215443 177069 945.352 214.571
215443 316228 259902 1091.11 348.004
316228 464159 381484 657.01 346.23
464159 681292 559942 157.952 124.479
681292 1e+06 821883 0 0
