# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 230.532 2.6515
215.443 316.228 259.902 261.065 1.26197
316.228 464.159 381.484 289.744 0.72632
464.159 681.292 559.942 319.338 1.10514
681.292 1000 821.883 337.339 1.48157
1000 1467.8 1206.36 349.873 2.0018
1467.8 2154.43 1770.69 369.266 2.75367
2154.43 3162.28 2599.02 382.968 3.84717
3162.28 4641.59 3814.84 382.195 5.15545
4641.59 6812.92 5599.42 388.176 7.17935
6812.92 10000 8218.83 388.581 10.4482
10000 14678 12063.6 401.04 14.8094
14678 21544.3 17706.9 444.923 22.9213
21544.3 31622.8 25990.2 484.451 31.8476
31622.8 46415.9 38148.4 597.451 50.2837
46415.9 68129.2 55994.2 780.987 75.1853
68129.2 100000 82188.3 941.345 117.81
100000 146780 120636 1013.09 164.959
146780 215443 177069 1223.88 244.111
215443 316228 259902 1692.69 428.354
316228 464159 381484 1481.22 508.444
464159 681292 559942 1279.48 827.932
681292 1e+06 821883 0 0
