# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 10142.5 16.3864
215.443 316.228 259.902 10936.5 7.53577
316.228 464.159 381.484 11672.9 4.21621
464.159 681.292 559.942 12417.9 6.10139
681.292 1000 821.883 12876.4 8.15741
1000 1467.8 1206.36 13185.5 11.9071
1467.8 2154.43 1770.69 13458.1 14.6693
2154.43 3162.28 2599.02 13592 23.7988
3162.28 4641.59 3814.84 13764.9 32.0145
4641.59 6812.92 5599.42 14121.5 43.4876
6812.92 10000 8218.83 14729.4 60.2144
10000 14678 12063.6 15861 85.899
14678 21544.3 17706.9 17228.3 120.368
21544.3 31622.8 25990.2 18681.6 183.559
31622.8 46415.9 38148.4 20501.4 259.289
46415.9 68129.2 55994.2 22741.7 378.375
68129.2 100000 82188.3 25270.9 552.885
100000 146780 120636 27860.4 695.621
146780 215443 177069 28687.1 994.674
215443 316228 259902 27482.3 1323.14
316228 464159 381484 27379.1 1636.97
464159 681292 559942 34232.4 3441.17
681292 1e+06 821883 0 0
