Quantity	<Ek/n>  GeV  	Bin range	Flux (per Ek/n bin)# (GeV m2 s sr)-1  	Stat Err	Syst Err
S	0.547723	0.5  0.6  	1.710000e-1	  0.016	-
S	0.648074	0.6  0.7  	2.100000e-1	  0.019	-
S	0.748331	0.7  0.8  	1.580000e-1	  0.018	-
S	0.848528	0.8  0.9  	1.270000e-1	  0.017	-
S	0.948683	0.9  1  	1.170000e-1	  0.016	-
S	1.09545	  	1    1.2  	1.200000e-1	  0.0115	-
S	1.34164	  	1.2  1.5  	6.100000e-2	  0.00666667	-
S	1.73205	  	1.5  2  	3.920000e-2	  0.004	-
S	2.44949	  	2    3  	1.850000e-2	  0.002	-
S	5.47723	  	3    10  	2.714290e-3	  0.000285714	-
