# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 263.434 2.96911
215.443 316.228 259.902 297.955 1.39629
316.228 464.159 381.484 330.181 0.793914
464.159 681.292 559.942 362.961 1.21448
681.292 1000 821.883 381.398 1.64142
1000 1467.8 1206.36 392.413 2.1328
1467.8 2154.43 1770.69 410.608 2.87834
2154.43 3162.28 2599.02 421.073 3.92404
3162.28 4641.59 3814.84 417.267 5.2641
4641.59 6812.92 5599.42 420.937 7.19747
6812.92 10000 8218.83 418.016 10.6054
10000 14678 12063.6 434.137 15.5975
14678 21544.3 17706.9 485.132 23.8194
21544.3 31622.8 25990.2 521.163 32.5838
31622.8 46415.9 38148.4 647.708 51.5707
46415.9 68129.2 55994.2 867.8 77.7529
68129.2 100000 82188.3 1052.3 122.048
100000 146780 120636 1132.36 173.97
146780 215443 177069 1288.83 251.605
215443 316228 259902 1619.28 401.526
316228 464159 381484 1601.12 545.742
464159 681292 559942 1692.27 965.979
681292 1e+06 821883 0 0
