# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 16469.7 16.2697
215.443 316.228 259.902 17355.6 7.29186
316.228 464.159 381.484 18170.1 4.06728
464.159 681.292 559.942 18981.6 5.94567
681.292 1000 821.883 19336.6 7.62024
1000 1467.8 1206.36 19610.3 10.6932
1467.8 2154.43 1770.69 20586.9 15.2249
2154.43 3162.28 2599.02 21770.7 22.9598
3162.28 4641.59 3814.84 23228.7 32.9679
4641.59 6812.92 5599.42 24963.9 47.8414
6812.92 10000 8218.83 26967.6 67.9554
10000 14678 12063.6 29673.7 101.579
14678 21544.3 17706.9 32795.4 151.349
21544.3 31622.8 25990.2 36014.9 210.656
31622.8 46415.9 38148.4 39360.7 315.437
46415.9 68129.2 55994.2 41752.3 458.319
68129.2 100000 82188.3 43003.2 633.732
100000 146780 120636 44512.3 1104.74
146780 215443 177069 46533.9 1350.69
215443 316228 259902 50558 1615.49
316228 464159 381484 62237.3 3003.93
464159 681292 559942 70922.7 3995.31
681292 1e+06 821883 0 0
