# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 10196 15.4516
215.443 316.228 259.902 11069.8 6.96707
316.228 464.159 381.484 11877.1 3.95329
464.159 681.292 559.942 12682.4 5.73323
681.292 1000 821.883 13099 7.40109
1000 1467.8 1206.36 13259.8 10.343
1467.8 2154.43 1770.69 13455.5 13.7691
2154.43 3162.28 2599.02 13506.4 20.6465
3162.28 4641.59 3814.84 13571.2 29.1324
4641.59 6812.92 5599.42 13904.4 40.3553
6812.92 10000 8218.83 14593.5 54.399
10000 14678 12063.6 15856.1 79.6264
14678 21544.3 17706.9 17475.3 115.233
21544.3 31622.8 25990.2 19320.4 158.931
31622.8 46415.9 38148.4 21429.5 238.19
46415.9 68129.2 55994.2 23409 333.612
68129.2 100000 82188.3 25629.4 494.246
100000 146780 120636 28796.5 661.034
146780 215443 177069 30870 966.153
215443 316228 259902 30191.2 1294.78
316228 464159 381484 30334.6 1548.4
464159 681292 559942 39564.6 3368.96
681292 1e+06 821883 0 0
