# Emin  Emax  Emed  flux_pow  flux_pow_err
100 133.352 115.2 0 0
133.352 177.828 153.622 0 0
177.828 237.137 204.858 166.609 0.995171
237.137 316.228 273.183 286.642 1.24317
316.228 421.697 364.295 342.148 0.882462
421.697 562.341 485.795 355.626 1.20904
562.341 749.894 647.819 365.429 1.63217
749.894 1000 863.88 378.05 1.86864
1000 1333.52 1152 388.337 2.57314
1333.52 1778.28 1536.22 404.341 3.19089
1778.28 2371.37 2048.58 417.505 3.4946
2371.37 3162.28 2731.83 418.527 4.87812
3162.28 4216.97 3642.95 412.248 5.90531
4216.97 5623.41 4857.95 413.16 7.50649
5623.41 7498.94 6478.19 410.668 10.4193
7498.94 10000 8638.8 403.806 12.4631
10000 14678 12063.6 419.876 15.3631
14678 21544.3 17706.9 457.26 22.3184
21544.3 31622.8 25990.2 474.615 30.7453
31622.8 46415.9 38148.4 569.934 47.6127
46415.9 68129.2 55994.2 733.431 70.9836
68129.2 100000 82188.3 885.09 109.268
100000 146780 120636 930.593 145.956
146780 215443 177069 1013.35 211.296
215443 316228 259902 1046.68 331.074
316228 464159 381484 517.649 303.498
464159 681292 559942 104.267 97.0727
681292 1e+06 821883 0 0
