# Emin  Emax  Emed  flux_pow  flux_pow_err
133.352 177.828 153.622 0 0
237.137 316.228 273.183 286.644 1.246
316.228 421.697 364.295 342.155 0.877717
421.697 562.341 485.795 355.625 1.21276
562.341 749.894 647.819 365.409 1.63907
749.894 1000 863.88 378.041 1.8686
1000 1333.52 1152 388.396 2.56975
1333.52 1778.28 1536.22 404.423 3.22755
1778.28 2371.37 2048.58 417.43 3.54508
2371.37 3162.28 2731.83 418.04 4.82781
3162.28 4216.97 3642.95 411.805 5.89067
4216.97 5623.41 4857.95 413.232 7.10725
5623.41 7498.94 6478.19 411.723 10.1479
7498.94 10000 8638.8 405.698 12.2235
10000 13335.2 11520 415.46 14.821
13335.2 17782.8 15362.2 446.874 21.2411
17782.8 23713.7 20485.8 459.07 28.2019
23713.7 31622.8 27318.3 473.599 34.8334
31622.8 42169.7 36429.5 578.066 50.9441
42169.7 56234.1 48579.5 737.984 72.4129
56234.1 74989.4 64781.9 813.509 96.0012
74989.4 100000 86388 823.691 120.457
100000 133352 115200 776.333 162.613
133352 177828 153622 655.155 205.819
177828 237137 204858 840.623 265.793
237137 316228 273183 1395.49 456.693
316228 421697 364295 1330.21 539.554
421697 562341 485795 1326.87 936.613

